time-in-ms bytes
366 4096
574 49152
780 49152
986 49152
1195 65536
1401 49152
1613 65536
1820 49152
2025 49152
2233 49152
2440 49152
2653 65536
2863 49152
3069 49152
3277 49152
3483 49152
3698 114688
3905 49152
4111 49152
4318 49152
4526 16384
4731 114688
4938 32768
5143 49152
5350 49152
5559 98304
5769 32768
5981 49152
6187 49152
6391 49152
6601 114688
6810 49152
7015 32768
7225 65536
7432 32768
7639 81920
7847 49152
8061 49152
8268 49152
8476 65536
8694 81920
8898 16384
9108 49152
9321 98304
9527 32768
9736 98304
9942 49152
10146 49152
10353 49152
10566 81920
10771 49152
10977 65536
11184 81920
11391 65536
11598 65536
11803 49152
12009 49152
12216 49152
12424 65536
12629 49152
12834 32768
13041 49152
13248 49152
13454 65536
13660 49152
13865 49152
14078 49152
14285 49152
14491 65536
14697 49152
14903 49152
15117 49152
15324 49152
15529 65536
15739 98304
15944 49152
16155 49152
16363 65536
16570 49152
16779 65536
16986 49152
17207 114688
17414 16384
17623 98304
17829 49152
18035 32768
18446 81920
18652 81920
18858 49152
19065 49152
19285 65536
19492 49152
19696 49152
19903 49152
20108 49152
20328 81920
20533 49152
20738 32768
20945 49152
21151 49152
21368 32768
21572 65536
21779 49152
21985 49152
22191 49152
22413 32768
22625 81920
22830 98304
23035 49152
23242 49152
23448 65536
23662 49152
23880 65536
24088 65536
24298 98304
24504 16384
24713 98304
24920 49152
25128 49152
25334 49152
25543 65536
25749 49152
25955 49152
26367 49152
26576 98304
26781 49152
26988 49152
27201 49152
27407 16384
27611 81920
27817 49152
28022 49152
28230 49152
28436 65536
28642 65536
28851 49152
29065 65536
29270 32768
29478 114688
29684 49152
29890 49152
30095 49152
30302 65536
30509 65536
30717 49152
30920 32768
31125 49152
31333 49152
31538 81920
31752 49152
31958 49152
32164 49152
32369 32768
32572 65536
32789 49152
32996 49152
33203 49152
33411 32768
33620 81920
33830 49152
34033 32768
34240 49152
34463 49152
34676 81920
34880 32768
35089 49152
35295 49152
35501 32768
35710 114688
35922 49152
36127 16384
36335 81920
36541 16384
36745 98304
36951 49152
37158 49152
37366 49152
37571 65536
37778 49152
37986 49152
38194 49152
38399 49152
38604 65536
38816 98304
39240 49152
39448 114688
39656 65536
39862 49152
40071 49152
40277 49152
40483 65536
40689 49152
40894 49152
41117 49152
41322 49152
41528 65536
41734 49152
41944 49152
42155 49152
42362 49152
42572 114688
42776 49152
42982 49152
43195 49152
43403 49152
43606 65536
43813 49152
44019 49152
44232 49152
44443 49152
44656 65536
44864 65536
45068 32768
45277 65536
45485 49152
45688 114338
