time-in-ms bytes
561 4096
801 81920
1083 65536
1357 65536
1584 49152
1857 98304
2145 65536
2424 65536
2649 49152
2932 81920
3221 65536
3521 49152
3731 65536
4007 98304
4292 65536
4576 49152
4791 49152
5074 98304
5359 49152
5640 65536
5935 65536
6141 81920
6477 65536
6761 49152
6970 49152
7249 98304
7534 65536
7827 65536
8039 49152
8313 98304
8604 49152
8879 49152
9088 65536
9376 81920
9645 65536
9928 49152
10140 49152
10426 98304
10720 49152
10999 65536
11217 49152
11496 98304
11777 49152
12071 65536
12287 49152
12560 98304
12873 65536
13121 49152
13336 49152
13616 98304
13897 49152
14175 65536
14393 49152
14677 114688
14982 98304
15271 81920
15577 147456
15869 32768
16163 65536
16400 65536
16648 98304
16959 32768
17198 49152
17454 65536
17691 98304
17980 49152
18263 65536
18503 49152
18751 98304
19081 49152
19317 49152
19518 49152
19730 49152
19957 81920
20246 49152
20531 49152
20769 65536
21058 81920
21337 65536
21571 65536
21804 49152
22075 98304
22318 49152
22648 65536
22861 65536
23164 81920
23445 65536
23691 49152
23899 65536
24176 81920
24467 65536
24744 65536
24952 49152
25236 98304
25519 49152
25801 65536
26012 49152
26302 98304
26580 65536
26858 49152
27075 65536
27354 81920
27629 49152
27919 65536
28139 65536
28410 81920
28702 65536
28991 65536
29205 49152
29479 98304
29772 49152
30047 65536
30258 65536
30529 81920
30821 49152
31102 65536
31319 65536
31590 81920
31884 65536
32166 49152
32384 65536
32662 81920
32940 65536
33222 65536
33537 65536
33739 81920
33989 49152
34264 65536
34571 65536
34912 98304
35189 65536
35442 65536
35688 98304
35977 49152
36254 49152
36501 65536
36748 98304
37035 49152
37322 65536
37530 49152
37817 98304
38102 49152
38378 65536
38621 49152
38876 98304
39158 65536
39450 49152
39732 65536
39954 98304
40228 49152
40516 49152
40759 65536
41009 98304
41298 49152
41582 65536
41826 49152
42069 98304
42348 49152
42635 65536
42883 49152
43134 98304
43420 49152
43697 65536
43936 49152
44183 98304
44474 65536
44755 49152
45006 65536
45253 98304
45534 49152
45817 49152
46066 65536
46344 98304
46626 49152
46829 49152
47068 49152
53454 16384
63727 32768
64749 65536
74760 98304
75055 16384
75646 32768
76146 16384
77458 16384
78706 16384
79756 16384
80997 16384
82319 16384
83367 16384
84309 16384
84624 16384
85340 32768
86690 16384
87626 16384
88661 16384
90006 16384
91041 16384
91980 16384
93335 16384
94278 16384
95319 16384
95628 32768
96133 16384
