time-in-ms bytes
200 0
400 0
600 0
800 69632
1000 49152
1200 65536
1400 32768
1600 49152
1800 81920
2000 32768
2200 65536
2400 49152
2600 49152
2800 98304
3000 32768
3200 65536
3400 32768
3600 49152
3800 65536
4000 49152
4200 49152
4400 49152
4600 49152
4800 81920
5000 49152
5200 49152
5400 65536
5600 32768
5800 81920
6000 49152
6200 32768
6400 65536
6600 49152
6800 65536
7000 49152
7200 49152
7400 65536
7600 65536
7800 49152
8000 49152
8200 49152
8400 49152
8600 49152
8800 98304
9000 32768
9200 49152
9400 49152
9600 49152
9800 114688
10000 28672
10200 36864
10400 49152
10600 32768
10800 65536
11000 65536
11200 49152
11400 49152
11600 49152
11800 81920
12000 49152
12200 49152
12400 45056
12600 36864
12800 77824
13000 69632
13200 49152
13400 49152
13600 49152
13800 81920
14000 49152
14200 49152
14400 61440
14600 36864
14800 49152
15000 49152
15200 65536
15400 49152
15600 49152
15800 65536
16000 28672
16200 86016
16400 32768
16600 65536
16800 65536
17000 49152
17200 49152
17400 81920
17600 32768
17800 49152
18000 65536
18200 49152
18400 65536
18600 32768
18800 65536
19000 32768
19200 49152
19400 81920
19600 49152
19800 65536
20000 49152
