time-in-ms bytes
200 53248
400 32768
600 49152
800 32768
1000 49152
1200 81920
1400 32768
1600 49152
1800 32768
2000 49152
2200 81920
2400 32768
2600 65536
2800 49152
3000 65536
3200 49152
3400 49152
3600 32768
3800 49152
4000 32768
4200 81920
4400 32768
4600 49152
4800 49152
5000 49152
5200 81920
5400 49152
5600 49152
5800 49152
6000 45056
6200 49152
6400 53248
6600 49152
6800 65536
7000 49152
7200 65536
7400 49152
7600 65536
7800 49152
8000 65536
8200 49152
8400 49152
8600 49152
8800 49152
9000 49152
9200 65536
9400 49152
9600 49152
9800 49152
10000 49152
10200 65536
10400 49152
10600 49152
10800 49152
11000 49152
11200 65536
11400 49152
11600 49152
11800 32768
12000 49152
12200 65536
12400 49152
12600 49152
12800 49152
13000 49152
13200 65536
13400 49152
13600 49152
13800 32768
14000 49152
14200 65536
14400 49152
14600 32768
14800 49152
15000 45056
15200 69632
15400 32768
15600 49152
15800 49152
16000 49152
16200 81920
16400 49152
16600 49152
16800 65536
17000 49152
17200 49152
17400 65536
17600 32768
17800 32768
18000 45056
18200 69632
18400 32768
18600 49152
18800 32768
19000 49152
19200 65536
19400 49152
19600 49152
19800 49152
20000 49152
